Data Collectors,ysi,date,time,airpres_mmHg,distance_m,trib,habitat,depth_cm,temp_c,DO_persat,DO_mgL,SpC_uscm,pH,Notes,NO3.N_mgl,SO4_mgl,Cl_mgl,NPOC_mgl,TN_mgl,NH4.N_mgl,PO4.P_mgl
"AMC, ESB",StreamPulse,2019-03-08,14:31,,6300,,pool,129,7.4,101.9,12.25,91.8,7.29,in power cut - use as a high light cite?,,,,,,,
"AMC, ESB",StreamPulse,2019-03-08,14:34,,6350,,pool,128,7.4,101.8,12.24,91.7,7.3,,,,,,,,
"AMC, ESB",StreamPulse,2019-03-08,14:37,,6400,,pool,111,7.4,102.2,12.28,91.9,7.29,too deep to get in at edge,2.637040078,6.187865523,7.571469748,2.245,0.3431,-0.00337,0.00865
"AMC, ESB",StreamPulse,2019-03-08,14:43,,6450,,pool,111,7.5,102.3,12.27,92.1,7.34,,,,,,,,
"AMC, ESB",StreamPulse,2019-03-08,14:46,,6500,,run,57,7.5,102.6,12.3,92,7.26,boulder-cobble,,,,,,,
"AMC, ESB",StreamPulse,2019-03-08,14:49,,6550,,riffle,32,7.5,102.5,12.29,92.2,7.21,large cobble,,,,,,,
"AMC, ESB",StreamPulse,2019-03-08,14:52,,6575,1,riffle,,7.7,44.6,5.29,81.6,7.01,"seep forming pool along bank, landscape shape indicates gaining stream here",2.694563624,6.111854612,7.662245924,2.195,0.3471,0.00237,0.0105
"AMC, ESB",StreamPulse,2019-03-08,14:57,,6600,,riffle,26,7.5,102.5,12.3,92.5,6.95,cobble/gravel valley opens up here after end of long pool,,,,,,,
"AMC, ESB",StreamPulse,2019-03-08,14:59,,6625,1,pool,,9.2,99,11.4,74.5,7.07,,,,,,,,
"AMC, ESB",StreamPulse,2019-03-08,15:02,,6650,,pool,91,7.5,101.9,12.23,92.5,7.02,sandy,,,,,,,
"AMC, ESB",StreamPulse,2019-03-08,15:08,,6700,,run,41,7.6,101.9,12.21,92.5,7.04,cobble/gravel,,,,,,,
"AMC, ESB",StreamPulse,2019-03-08,15:10,,6725,1,run,,7,90.8,11.04,77.7,7.08,,,,,,,,
"AMC, ESB",StreamPulse,2019-03-08,15:13,,6750,,riffle,82,7.6,102.1,12.23,92.5,6.87,narrowest point in channel,,,,,,,
"AMC, ESB",StreamPulse,2019-03-08,15:17,,6800,,run,111,7.6,101.7,12.2,92.5,7.09,silty muck over boulders,2.748703431,6.163332901,7.611518061,2.201,0.3469,0.00206,0.00949
"NEB, CAC",Doyle,2019-03-08,13:09,758,6800,,run,120,7.4,117,15,93.1,8.23,,,,,,,,
"NEB, CAC",Doyle,2019-03-08,13:15,,6850,,run,130,7.4,112,13.5,92.9,8.1,,,,,,,,
"NEB, CAC",Doyle,2019-03-08,13:20,,6900,,run,57,7.3,109,13.2,93.2,7.88,,,,,,,,
"NEB, CAC",Doyle,2019-03-08,13:24,,6950,,run,42,7.4,112.5,13.62,93.2,7.78,,,,,,,,
"NEB, CAC",Doyle,2019-03-08,13:28,,7000,,run,86,7.4,110.1,13.22,93.2,7.67,,2.895332077,6.138800279,7.662542578,2.178,0.349,-0.000628,0.00922
"NEB, CAC",Doyle,2019-03-08,13:36,,7050,,run,95,7.5,111.7,13.41,93.3,7.53,,,,,,,,
"NEB, CAC",Doyle,2019-03-08,13:40,,7100,,run,94,7.5,106.5,12.71,93.3,7.71,,,,,,,,
"NEB, CAC",Doyle,2019-03-08,13:46,,7150,,run,74,7.5,107.4,12.9,93.4,7.68,,,,,,,,
"NEB, CAC",Doyle,2019-03-08,13:51,,7200,,run,49,7.5,106.8,12.86,93.4,7.71,,2.807354889,6.197115528,7.685681603,2.254,0.3527,-0.000155,0.00909
"NEB, CAC",Doyle,2019-03-08,13:57,,7250,,run,45,7.5,106.5,17.68,93.3,7.7,,,,,,,,
"NEB, CAC",Doyle,2019-03-08,14:03,,7300,,run,57,7.6,108.5,13.03,93.5,7.68,,,,,,,,
"NEB, CAC",Doyle,2019-03-08,14:39,,7350,,run,77,7.6,107.3,12.88,93.3,7.71,,,,,,,,
"NEB, CAC",Doyle,2019-03-08,14:12,,7400,,run,33,7.6,111.3,13.2,93.6,7.61,,2.793819937,6.182637259,7.713863749,2.196,0.3696,0.00243,0.00905
"NEB, CAC",Doyle,2019-03-08,14:17,,7450,,pool,82,7.6,107.7,12.91,93,7.64,,,,,,,,
"NEB, CAC",Doyle,2019-03-08,14:21,,7500,,run,62,7.6,107.3,12.85,93.5,7.63,,,,,,,,
"NEB, CAC",Doyle,2019-03-08,14:27,,7550,,pool,72,7.7,108.7,12.92,93.6,7.61,,,,,,,,
"NEB, CAC",Doyle,2019-03-08,14:30,,7600,,run,59,7.7,109.7,13.07,93.6,7.6,,2.817506103,6.17298508,7.737892737,2.279,0.373,0.00462,0.00901
"NEB, CAC",Doyle,2019-03-08,14:39,,7650,,run,70,7.7,113,13.47,93.6,7.57,,,,,,,,
"NEB, CAC",Doyle,2019-03-08,14:42,,7700,,riffle,29,7.7,111,13.2,93.7,7.56,,,,,,,,
"NEB, CAC",Doyle,2019-03-08,15:07,,7750,,riffle,19,7.8,121.4,14.3,93.7,7.62,,,,,,,,
"NEB, CAC",Doyle,2019-03-08,15:12,,7800,,run,42,7.8,112.1,13.13,93.6,7.58,,2.85021557,6.15448507,7.773491237,2.251,0.3727,0.00671,0.00961
"NEB, CAC",Doyle,2019-03-08,15:18,,7825,1,,,9.33,97.1,11.17,89.6,11.63,,,,,,,,
"NEB, CAC",Doyle,2019-03-08,15:21,,7850,,pool,84,7.8,105.4,12.55,93.7,7.57,green algae/filamentous tufts on channel edges,,,,,,,
"NEB, CAC",Doyle,2019-03-08,15:23,,7900,,run,45,7.8,106.7,12.7,93.6,7.58,algae mats on rocks green,,,,,,,
"NEB, CAC",Doyle,2019-03-08,15:28,,7950,,run,43,7.8,109.9,12.87,93.9,7.53,algae mats on rocks green,,,,,,,
"NEB, CAC",Doyle,2019-03-08,15:30,,8000,,run,39,7.8,106.7,12.69,93.8,7.55,"green, some algae moss rocks",2.872773823,6.162930727,7.780610937,2.272,0.3835,0.00618,0.00926
"NEB, CAC",Doyle,2019-03-08,15:36,,8050,,riffle,14,7.8,107.9,12.81,93.6,7.45,"not so green, very moss rocks",,,,,,,
"NEB, CAC",Doyle,2019-03-08,15:40,,8100,,run,49,7.8,110.7,13.05,94.1,7.46,green,,,,,,,
"NEB, CAC",Doyle,2019-03-08,15:44,,8125,1,,,10.7,97.4,11.08,77.8,7.5,clear,,,,,,,
"NEB, CAC",Doyle,2019-03-08,15:44,,8150,,pool,41,7.8,114.1,13.52,94.1,7.44,turbid,,,,,,,
"NEB, CAC",Doyle,2019-03-08,15:48,,8200,,pool,91,7.8,106.5,12.62,94,7.51,green water,2.941576495,6.177006821,7.831042146,2.265,0.3932,0.00558,0.00891
"NEB, CAC",Doyle,2019-03-08,15:57,,8250,,pool,80,7.8,108.4,12.85,94,7.52,green water,,,,,,,
"NEB, CAC",Doyle,2019-03-08,16:01,,8300,,pool,57,7.8,106.7,12.68,93.9,7.5,green,,,,,,,
"NEB, CAC",Doyle,2019-03-08,16:08,,8350,,run,68,7.8,105.5,12.64,93.7,7.51,"10 m downstream from bridge, green",,,,,,,
"NEB, CAC",Doyle,2019-03-08,16:14,,8400,,run,69,7.8,108,12.83,93.8,7.53,brown,2.943832321,6.179419866,7.810573008,2.267,0.3761,0.00848,0.00987
"NEB, CAC",Doyle,2019-03-08,16:27,,8450,,run,59,7.9,104.7,12.53,93.8,7.49,"green, algae on rocks",,,,,,,
